"Date"	"Lineage"	"Frequency"	"% Frequency"
2021-11-29	"BA.2"	8	"100%"
2021-11-29	"BA.2.12.1"	0	"0%"
2021-11-29	"BA.2.21"	0	"0%"
2021-11-29	"BA.2.3"	0	"0%"
2021-11-29	"BA.2.3.6"	0	"0%"
2021-11-29	"BA.2.65"	0	"0%"
2021-11-29	"BA.2.9"	0	"0%"
2021-11-29	"JN.1"	0	"0%"
2021-11-29	"JN.1.1"	0	"0%"
2021-11-29	"JN.1.2"	0	"0%"
2021-11-29	"JN.1.22"	0	"0%"
2021-11-29	"JN.1.4"	0	"0%"
2021-11-29	"other lineages"	0	"0%"
2021-12-20	"BA.2"	2	"29%"
2021-12-20	"BA.2.12.1"	0	"0%"
2021-12-20	"BA.2.21"	0	"0%"
2021-12-20	"BA.2.3"	0	"0%"
2021-12-20	"BA.2.3.6"	0	"0%"
2021-12-20	"BA.2.65"	0	"0%"
2021-12-20	"BA.2.9"	0	"0%"
2021-12-20	"JN.1"	0	"0%"
2021-12-20	"JN.1.1"	0	"0%"
2021-12-20	"JN.1.2"	0	"0%"
2021-12-20	"JN.1.22"	0	"0%"
2021-12-20	"JN.1.4"	0	"0%"
2021-12-20	"other lineages"	5	"71%"
2021-12-27	"BA.2"	20	"38%"
2021-12-27	"BA.2.12.1"	0	"0%"
2021-12-27	"BA.2.21"	0	"0%"
2021-12-27	"BA.2.3"	9	"17%"
2021-12-27	"BA.2.3.6"	0	"0%"
2021-12-27	"BA.2.65"	0	"0%"
2021-12-27	"BA.2.9"	1	"2%"
2021-12-27	"JN.1"	0	"0%"
2021-12-27	"JN.1.1"	0	"0%"
2021-12-27	"JN.1.2"	0	"0%"
2021-12-27	"JN.1.22"	0	"0%"
2021-12-27	"JN.1.4"	0	"0%"
2021-12-27	"other lineages"	22	"42%"
2022-01-03	"BA.2"	44	"41%"
2022-01-03	"BA.2.12.1"	0	"0%"
2022-01-03	"BA.2.21"	0	"0%"
2022-01-03	"BA.2.3"	33	"31%"
2022-01-03	"BA.2.3.6"	0	"0%"
2022-01-03	"BA.2.65"	0	"0%"
2022-01-03	"BA.2.9"	0	"0%"
2022-01-03	"JN.1"	0	"0%"
2022-01-03	"JN.1.1"	0	"0%"
2022-01-03	"JN.1.2"	0	"0%"
2022-01-03	"JN.1.22"	0	"0%"
2022-01-03	"JN.1.4"	0	"0%"
2022-01-03	"other lineages"	31	"29%"
2022-01-10	"BA.2"	73	"46%"
2022-01-10	"BA.2.12.1"	0	"0%"
2022-01-10	"BA.2.21"	0	"0%"
2022-01-10	"BA.2.3"	57	"36%"
2022-01-10	"BA.2.3.6"	0	"0%"
2022-01-10	"BA.2.65"	0	"0%"
2022-01-10	"BA.2.9"	1	"1%"
2022-01-10	"JN.1"	0	"0%"
2022-01-10	"JN.1.1"	0	"0%"
2022-01-10	"JN.1.2"	0	"0%"
2022-01-10	"JN.1.22"	0	"0%"
2022-01-10	"JN.1.4"	0	"0%"
2022-01-10	"other lineages"	29	"18%"
2022-01-17	"BA.2"	146	"50%"
2022-01-17	"BA.2.12.1"	1	"0%"
2022-01-17	"BA.2.21"	0	"0%"
2022-01-17	"BA.2.3"	91	"31%"
2022-01-17	"BA.2.3.6"	0	"0%"
2022-01-17	"BA.2.65"	0	"0%"
2022-01-17	"BA.2.9"	2	"1%"
2022-01-17	"JN.1"	0	"0%"
2022-01-17	"JN.1.1"	0	"0%"
2022-01-17	"JN.1.2"	0	"0%"
2022-01-17	"JN.1.22"	0	"0%"
2022-01-17	"JN.1.4"	0	"0%"
2022-01-17	"other lineages"	50	"17%"
2022-01-24	"BA.2"	234	"52%"
2022-01-24	"BA.2.12.1"	5	"1%"
2022-01-24	"BA.2.21"	0	"0%"
2022-01-24	"BA.2.3"	142	"31%"
2022-01-24	"BA.2.3.6"	1	"0%"
2022-01-24	"BA.2.65"	0	"0%"
2022-01-24	"BA.2.9"	6	"1%"
2022-01-24	"JN.1"	0	"0%"
2022-01-24	"JN.1.1"	0	"0%"
2022-01-24	"JN.1.2"	0	"0%"
2022-01-24	"JN.1.22"	0	"0%"
2022-01-24	"JN.1.4"	0	"0%"
2022-01-24	"other lineages"	65	"14%"
2022-01-31	"BA.2"	245	"49%"
2022-01-31	"BA.2.12.1"	4	"1%"
2022-01-31	"BA.2.21"	1	"0%"
2022-01-31	"BA.2.3"	163	"33%"
2022-01-31	"BA.2.3.6"	0	"0%"
2022-01-31	"BA.2.65"	0	"0%"
2022-01-31	"BA.2.9"	14	"3%"
2022-01-31	"JN.1"	0	"0%"
2022-01-31	"JN.1.1"	0	"0%"
2022-01-31	"JN.1.2"	0	"0%"
2022-01-31	"JN.1.22"	0	"0%"
2022-01-31	"JN.1.4"	0	"0%"
2022-01-31	"other lineages"	71	"14%"
2022-02-07	"BA.2"	267	"61%"
2022-02-07	"BA.2.12.1"	1	"0%"
2022-02-07	"BA.2.21"	3	"1%"
2022-02-07	"BA.2.3"	123	"28%"
2022-02-07	"BA.2.3.6"	0	"0%"
2022-02-07	"BA.2.65"	0	"0%"
2022-02-07	"BA.2.9"	6	"1%"
2022-02-07	"JN.1"	0	"0%"
2022-02-07	"JN.1.1"	0	"0%"
2022-02-07	"JN.1.2"	0	"0%"
2022-02-07	"JN.1.22"	0	"0%"
2022-02-07	"JN.1.4"	0	"0%"
2022-02-07	"other lineages"	39	"9%"
2022-02-14	"BA.2"	360	"55%"
2022-02-14	"BA.2.12.1"	5	"1%"
2022-02-14	"BA.2.21"	6	"1%"
2022-02-14	"BA.2.3"	201	"31%"
2022-02-14	"BA.2.3.6"	0	"0%"
2022-02-14	"BA.2.65"	0	"0%"
2022-02-14	"BA.2.9"	21	"3%"
2022-02-14	"JN.1"	0	"0%"
2022-02-14	"JN.1.1"	0	"0%"
2022-02-14	"JN.1.2"	0	"0%"
2022-02-14	"JN.1.22"	0	"0%"
2022-02-14	"JN.1.4"	0	"0%"
2022-02-14	"other lineages"	64	"10%"
2022-02-21	"BA.2"	546	"53%"
2022-02-21	"BA.2.12.1"	9	"1%"
2022-02-21	"BA.2.21"	7	"1%"
