"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"KP*"	0.29689693	0.06534	0.52845	52	"New Brunswick"	0	"JN.1*"
"KP.2*"	0.29205473	0.03957	0.54454	21	"New Brunswick"	0	"JN.1*"
"KP.2"	0.2918814	0.03877	0.54499	15	"New Brunswick"	0	"JN.1"
"KP.1*"	0.27454542	NA	NA	11	"New Brunswick"	0	"JN.1*"
"JN.1.16*"	0.24367807	0	0.49022	19	"New Brunswick"	0	"JN.1*"
"KP.3*"	0.23629565	NA	NA	15	"New Brunswick"	0	"JN.1*"
"JN.1.16"	0.18875042	0.00385	0.37365	16	"Nova Scotia"	0	"JN.1"
"JN.1.18.4"	0.17217251	NA	NA	14	"Nova Scotia"	0	"JN.1"
"LH*"	0.17217251	NA	NA	14	"Nova Scotia"	0	"JN.1*"
"JN.1.16*"	0.15171013	0.01378	0.28964	36	"Nova Scotia"	0	"JN.1*"
"KS.1.3"	0.15073675	0.09837	0.2031	35	"Canada"	0	"JN.1"
"JN.1.4"	0.14968366	0.02614	0.27323	14	"New Brunswick"	0	"JN.1"
"KP.3.1.1"	0.14558162	0.12018	0.17098	454	"Canada"	0	"JN.1"
"KP.3*"	0.13663291	0.0273	0.24596	45	"Nova Scotia"	0	"JN.1*"
"JN.1.4.6"	0.12922648	0.04175	0.21671	35	"Nova Scotia"	0	"JN.1"
"KP.3.2"	0.12736906	0.00827	0.24647	20	"Nova Scotia"	0	"JN.1"
"KP.3.2*"	0.12242103	0.01263	0.23221	27	"Nova Scotia"	0	"JN.1*"
"JN.1.7*"	0.12171463	0.01607	0.22736	36	"New Brunswick"	0	"JN.1*"
"JN.1.7"	0.11866833	0.00893	0.22841	25	"New Brunswick"	0	"JN.1"
"KP.3.3*"	0.11727559	0.09936	0.13519	340	"Canada"	0	"JN.1*"
"KP.2*"	0.11449112	0	0.23174	19	"Nova Scotia"	0	"JN.1*"
"KP.2.3*"	0.112815	0.0638	0.16183	62	"Quebec"	0	"JN.1*"
"KP.3.3"	0.11236257	0.09376	0.13096	233	"Canada"	0	"JN.1"
"KP.2.3"	0.10968583	0.04123	0.17814	56	"Quebec"	0	"JN.1"
"LW*"	0.10960044	0	0.22407	56	"Quebec"	0	"JN.1*"
"JN.1.4*"	0.10833066	0.00676	0.2099	26	"New Brunswick"	0	"JN.1*"
"KP.3.2.3"	0.10728539	0.05743	0.15714	54	"Quebec"	0	"JN.1"
"LF*"	0.10609801	0.01257	0.19963	18	"Nova Scotia"	0	"JN.1*"
"LZ*"	0.10566978	NA	NA	15	"Quebec"	0	"JN.1*"
"LB.1"	0.10566628	0.04414	0.16719	32	"Quebec"	0	"JN.1"
"JN.1.16.1"	0.10547743	0.01163	0.19933	17	"Nova Scotia"	0	"JN.1"
"KP.3.2*"	0.1054028	0.06439	0.14641	72	"Quebec"	0	"JN.1*"
"LB.1*"	0.10461438	0.05921	0.15002	69	"Quebec"	0	"JN.1*"
"JN.1.9*"	0.10461438	0.05921	0.15002	69	"Quebec"	0	"JN.1*"
"LB*"	0.10461438	0.05921	0.15002	69	"Quebec"	0	"JN.1*"
"KP.2.3*"	0.10309987	0.04645	0.15975	111	"British Columbia"	0	"JN.1*"
"KP.2.3"	0.10221362	0.07202	0.13241	108	"British Columbia"	0	"JN.1"
"KP.3.3"	0.10099814	NA	NA	76	"British Columbia"	0	"JN.1"
"KP.3.3*"	0.10099814	NA	NA	76	"British Columbia"	0	"JN.1*"
"KS.1*"	0.10070302	0.04861	0.15279	26	"Quebec"	0	"JN.1*"
"KS.1"	0.09988461	0.0274	0.17236	23	"Quebec"	0	"JN.1"
"MC*"	0.09929234	NA	NA	82	"Quebec"	0	"JN.1*"
"KP.3.2.3"	0.09884054	0.06949	0.12819	62	"British Columbia"	0	"JN.1"
"LW*"	0.09884054	0.06949	0.12819	62	"British Columbia"	0	"JN.1*"
"KP.3.1.1"	0.0977974	NA	NA	81	"Quebec"	0	"JN.1"
"KP.3"	0.09713497	NA	NA	20	"Quebec"	0	"JN.1"
"LZ.1"	0.09605864	0.03978	0.15233	12	"Quebec"	0	"JN.1"
"LZ.1*"	0.09605864	0.03978	0.15233	12	"Quebec"	0	"JN.1*"
"LB.1.3*"	0.09583257	NA	NA	17	"Quebec"	0	"JN.1*"
"KP.4*"	0.09569606	0.06491	0.12649	52	"Ontario"	0	"JN.1*"
"KP.2.2"	0.09529635	0	0.20986	17	"Quebec"	0	"JN.1"
"KP.2.3"	0.09500561	0.08389	0.10612	552	"Canada"	0	"JN.1"
"KP.2.3*"	0.09347277	0.08275	0.1042	585	"Canada"	0	"JN.1*"
"LB.1"	0.09323438	0.07237	0.1141	140	"Ontario"	0	"JN.1"
"KP.2.3*"	0.09181048	0.07257	0.11105	204	"Ontario"	0	"JN.1*"
"KP*"	0.09166513	0.01954	0.16379	101	"Nova Scotia"	0	"JN.1*"
"KP.2.3"	0.09095622	0.07141	0.1105	184	"Ontario"	0	"JN.1"
"LB.1.2"	0.09033532	NA	NA	25	"British Columbia"	0	"JN.1"
"LP.1"	0.08993366	NA	NA	17	"Quebec"	0	"JN.1"
"LP.1*"	0.08993366	NA	NA	17	"Quebec"	0	"JN.1*"
"LP.1*"	0.08816845	NA	NA	36	"Ontario"	0	"JN.1*"
"JN.1.9*"	0.08715023	0.07087	0.10343	307	"Ontario"	0	"JN.1*"
"LB*"	0.08715023	0.07087	0.10343	307	"Ontario"	0	"JN.1*"
"LB.1*"	0.08709086	0.07081	0.10337	304	"Ontario"	0	"JN.1*"
"KP.3.2"	0.08707314	0.02767	0.14648	13	"Quebec"	0	"JN.1"
"KP.3.3.1"	0.08649685	NA	NA	44	"Ontario"	0	"JN.1"
"KP.4.1*"	0.08634401	0.04325	0.12944	33	"Ontario"	0	"JN.1*"
"ML*"	0.08609472	NA	NA	20	"Ontario"	0	"JN.1*"
"MK*"	0.08549907	0.04841	0.12259	35	"British Columbia"	0	"JN.1*"
"LP*"	0.0854416	0.06429	0.10659	94	"Ontario"	0	"JN.1*"
"KP.3.1.6"	0.08514911	0.02665	0.14365	34	"British Columbia"	0	"JN.1"
"LB.1*"	0.08506175	0.07147	0.09865	359	"British Columbia"	0	"JN.1*"
"LB*"	0.08506175	0.07147	0.09865	359	"British Columbia"	0	"JN.1*"
"KP.3.1"	0.08499277	0.06651	0.10348	108	"British Columbia"	0	"JN.1"
"KP.2.2"	0.0846636	0.06235	0.10698	58	"British Columbia"	0	"JN.1"
"LB.1"	0.08418097	0.07001	0.09835	291	"British Columbia"	0	"JN.1"
"KP.3.3*"	0.08360642	0.05944	0.10778	102	"Alberta"	0	"JN.1*"
"LB.1"	0.08205192	0.07328	0.09082	624	"Canada"	0	"JN.1"
"KP.3.1*"	0.08195921	0.06738	0.09654	235	"British Columbia"	0	"JN.1*"
"LP.1"	0.08174582	0.05342	0.11007	34	"Ontario"	0	"JN.1"
"LB.1*"	0.08173572	0.07385	0.08962	1012	"Canada"	0	"JN.1*"
"KP.3.3"	0.08167943	0.03632	0.12704	84	"Alberta"	0	"JN.1"
"LB*"	0.08162985	0.07376	0.0895	1015	"Canada"	0	"JN.1*"
"KR.1*"	0.08158313	0.02858	0.13459	13	"Ontario"	0	"JN.1*"
