"Date"	"Lineage"	"Frequency"	"% Frequency"
2021-11-15	"BA.1"	0	"0%"
2021-11-15	"BA.1.1"	1	"100%"
2021-11-15	"BA.1.1.1"	0	"0%"
2021-11-15	"BA.1.1.10"	0	"0%"
2021-11-15	"BA.1.1.11"	0	"0%"
2021-11-15	"BA.1.1.13"	0	"0%"
2021-11-15	"BA.1.1.14"	0	"0%"
2021-11-15	"BA.1.1.15"	0	"0%"
2021-11-15	"BA.1.1.16"	0	"0%"
2021-11-15	"BA.1.1.17"	0	"0%"
2021-11-15	"BA.1.1.18"	0	"0%"
2021-11-15	"BA.1.1.2"	0	"0%"
2021-11-15	"BA.1.1.3"	0	"0%"
2021-11-15	"BA.1.1.4"	0	"0%"
2021-11-15	"BA.1.1.6"	0	"0%"
2021-11-15	"BA.1.1.7"	0	"0%"
2021-11-15	"BA.1.1.8"	0	"0%"
2021-11-15	"BA.1.1.9"	0	"0%"
2021-11-15	"BA.1.10"	0	"0%"
2021-11-15	"BA.1.12"	0	"0%"
2021-11-15	"BA.1.13"	0	"0%"
2021-11-15	"BA.1.13.1"	0	"0%"
2021-11-15	"BA.1.14"	0	"0%"
2021-11-15	"BA.1.14.1"	0	"0%"
2021-11-15	"BA.1.14.2"	0	"0%"
2021-11-15	"BA.1.15"	0	"0%"
2021-11-15	"BA.1.15.1"	0	"0%"
2021-11-15	"BA.1.15.2"	0	"0%"
2021-11-15	"BA.1.15.3"	0	"0%"
2021-11-15	"BA.1.16"	0	"0%"
2021-11-15	"BA.1.17"	0	"0%"
2021-11-15	"BA.1.17.1"	0	"0%"
2021-11-15	"BA.1.17.2"	0	"0%"
2021-11-15	"BA.1.18"	0	"0%"
2021-11-15	"BA.1.19"	0	"0%"
2021-11-15	"BA.1.20"	0	"0%"
2021-11-15	"BA.1.21"	0	"0%"
2021-11-15	"BA.1.3"	0	"0%"
2021-11-15	"BA.1.5"	0	"0%"
2021-11-15	"BA.1.6"	0	"0%"
2021-11-15	"BA.1.7"	0	"0%"
2021-11-15	"BA.1.8"	0	"0%"
2021-11-15	"BA.1.9"	0	"0%"
2021-11-15	"BC.2"	0	"0%"
2021-11-15	"BD.1"	0	"0%"
2021-11-22	"BA.1"	6	"23%"
2021-11-22	"BA.1.1"	9	"35%"
2021-11-22	"BA.1.1.1"	0	"0%"
2021-11-22	"BA.1.1.10"	0	"0%"
2021-11-22	"BA.1.1.11"	0	"0%"
2021-11-22	"BA.1.1.13"	0	"0%"
2021-11-22	"BA.1.1.14"	0	"0%"
2021-11-22	"BA.1.1.15"	0	"0%"
2021-11-22	"BA.1.1.16"	0	"0%"
2021-11-22	"BA.1.1.17"	0	"0%"
2021-11-22	"BA.1.1.18"	0	"0%"
2021-11-22	"BA.1.1.2"	0	"0%"
2021-11-22	"BA.1.1.3"	0	"0%"
2021-11-22	"BA.1.1.4"	0	"0%"
2021-11-22	"BA.1.1.6"	0	"0%"
2021-11-22	"BA.1.1.7"	0	"0%"
2021-11-22	"BA.1.1.8"	0	"0%"
2021-11-22	"BA.1.1.9"	0	"0%"
2021-11-22	"BA.1.10"	0	"0%"
2021-11-22	"BA.1.12"	0	"0%"
2021-11-22	"BA.1.13"	2	"8%"
2021-11-22	"BA.1.13.1"	0	"0%"
2021-11-22	"BA.1.14"	0	"0%"
2021-11-22	"BA.1.14.1"	0	"0%"
2021-11-22	"BA.1.14.2"	0	"0%"
2021-11-22	"BA.1.15"	4	"15%"
2021-11-22	"BA.1.15.1"	0	"0%"
2021-11-22	"BA.1.15.2"	0	"0%"
2021-11-22	"BA.1.15.3"	0	"0%"
2021-11-22	"BA.1.16"	0	"0%"
2021-11-22	"BA.1.17"	2	"8%"
2021-11-22	"BA.1.17.1"	0	"0%"
2021-11-22	"BA.1.17.2"	2	"8%"
2021-11-22	"BA.1.18"	0	"0%"
2021-11-22	"BA.1.19"	1	"4%"
2021-11-22	"BA.1.20"	0	"0%"
2021-11-22	"BA.1.21"	0	"0%"
2021-11-22	"BA.1.3"	0	"0%"
2021-11-22	"BA.1.5"	0	"0%"
2021-11-22	"BA.1.6"	0	"0%"
2021-11-22	"BA.1.7"	0	"0%"
2021-11-22	"BA.1.8"	0	"0%"
2021-11-22	"BA.1.9"	0	"0%"
2021-11-22	"BC.2"	0	"0%"
2021-11-22	"BD.1"	0	"0%"
2021-11-29	"BA.1"	14	"9%"
2021-11-29	"BA.1.1"	49	"32%"
2021-11-29	"BA.1.1.1"	0	"0%"
2021-11-29	"BA.1.1.10"	1	"1%"
2021-11-29	"BA.1.1.11"	0	"0%"
2021-11-29	"BA.1.1.13"	0	"0%"
2021-11-29	"BA.1.1.14"	3	"2%"
2021-11-29	"BA.1.1.15"	0	"0%"
2021-11-29	"BA.1.1.16"	0	"0%"
2021-11-29	"BA.1.1.17"	1	"1%"
2021-11-29	"BA.1.1.18"	0	"0%"
2021-11-29	"BA.1.1.2"	0	"0%"
2021-11-29	"BA.1.1.3"	0	"0%"
2021-11-29	"BA.1.1.4"	0	"0%"
2021-11-29	"BA.1.1.6"	1	"1%"
2021-11-29	"BA.1.1.7"	0	"0%"
2021-11-29	"BA.1.1.8"	0	"0%"
2021-11-29	"BA.1.1.9"	0	"0%"
2021-11-29	"BA.1.10"	0	"0%"
2021-11-29	"BA.1.12"	0	"0%"
2021-11-29	"BA.1.13"	1	"1%"
2021-11-29	"BA.1.13.1"	0	"0%"
2021-11-29	"BA.1.14"	6	"4%"
2021-11-29	"BA.1.14.1"	0	"0%"
2021-11-29	"BA.1.14.2"	0	"0%"
2021-11-29	"BA.1.15"	17	"11%"
2021-11-29	"BA.1.15.1"	0	"0%"
2021-11-29	"BA.1.15.2"	0	"0%"
2021-11-29	"BA.1.15.3"	0	"0%"
2021-11-29	"BA.1.16"	0	"0%"
2021-11-29	"BA.1.17"	27	"18%"
2021-11-29	"BA.1.17.1"	0	"0%"
2021-11-29	"BA.1.17.2"	12	"8%"
2021-11-29	"BA.1.18"	0	"0%"
2021-11-29	"BA.1.19"	18	"12%"
2021-11-29	"BA.1.20"	1	"1%"
2021-11-29	"BA.1.21"	0	"0%"
2021-11-29	"BA.1.3"	1	"1%"
2021-11-29	"BA.1.5"	0	"0%"
